comment_text,toxic
This is a safe comment number 1543,0
This is a toxic comment number 1692,1
"Hoy, pagpalain ka",0
LOVE WINS,0
This is a safe comment number 1423,0
This is a toxic comment number 630,1
This is a safe comment number 205,0
Kill yourself 😂,1
This is a toxic comment number 1290,1
This is a toxic comment number 662,1
Shut up loser 😂,1
This is a safe comment number 1177,0
This is a safe comment number 1477,0
This is a safe comment number 1391,0
This is a toxic comment number 1698,1
This is a toxic comment number 576,1
This is a safe comment number 1075,0
This is a safe comment number 873,0
This is a toxic comment number 1044,1
This is a safe comment number 1025,0
This is a safe comment number 1853,0
This is a safe comment number 539,0
This is a safe comment number 1623,0
This is a safe comment number 111,0
This is a safe comment number 1809,0
This is a toxic comment number 934,1
This is a safe comment number 139,0
This is a safe comment number 523,0
This is a safe comment number 1387,0
This is a safe comment number 643,0
This is a safe comment number 491,0
sira ulo!,1
This is a safe comment number 1041,0
This is a toxic comment number 514,1
This is a safe comment number 841,0
This is a safe comment number 1967,0
This is a toxic comment number 462,1
This is a toxic comment number 152,1
This is a safe comment number 1439,0
This is a safe comment number 479,0
This is a safe comment number 567,0
WELL DONE,0
This is a safe comment number 1643,0
This is a safe comment number 305,0
This is a toxic comment number 542,1
This is a toxic comment number 218,1
This is a toxic comment number 466,1
This is a safe comment number 1919,0
This is a toxic comment number 438,1
This is a toxic comment number 1468,1
This is a safe comment number 1059,0
This is a safe comment number 1475,0
This is a safe comment number 975,0
This is a safe comment number 33,0
This is a toxic comment number 400,1
maraming salamat,0
"Hey, Shut up loser",1
This is a safe comment number 997,0
Stay positive 😂,0
"Hoy, buti pa ikaw",0
This is a safe comment number 1713,0
This is a toxic comment number 350,1
This is a toxic comment number 826,1
This is a toxic comment number 1214,1
This is a safe comment number 151,0
This is a toxic comment number 1138,1
This is a safe comment number 1245,0
This is a safe comment number 439,0
This is a safe comment number 435,0
This is a safe comment number 589,0
Have a nice day,0
This is a safe comment number 669,0
This is a toxic comment number 888,1
This is a toxic comment number 1358,1
This is a safe comment number 1981,0
This is a toxic comment number 92,1
This is a toxic comment number 842,1
